Date & Time	Temp 	Press 	Light Intensity 	BMI	Moisture Correction (ppb) 	SNRrms	SNRpp	NH3(PPM)	NH3 SE(PPM)	NH3 FCT(PPM)	NH3 FCT SE(PPM)	CO2(PPM)	CO2 SE(PPM)	CO2 FCT(PPM)	CO2 FCT SE(PPM)	CO(PPM)	CO SE(PPM)	CO FCT(PPM)	CO FCT SE(PPM)	C2H6(PPM)	C2H6 SE(PPM)	C2H6 FCT(PPM)	C2H6 FCT SE(PPM)	HCHO(PPM)	HCHO SE(PPM)	HCHO FCT(PPM)	HCHO FCT SE(PPM)	FACIDD(PPM)	FACIDD SE(PPM)	FACIDD FCT(PPM)	FACIDD FCT SE(PPM)	CH4(PPM)	CH4 SE(PPM)	CH4 FCT(PPM)	CH4 FCT SE(PPM)	C3H8(PPM)	C3H8 SE(PPM)	C3H8 FCT(PPM)	C3H8 FCT SE(PPM)	SO2(PPM)	SO2 SE(PPM)	SO2 FCT(PPM)	SO2 FCT SE(PPM)	H2O(PPM)	H2O SE(PPM)	H2O FCT(PPM)	H2O FCT SE(PPM)	
6/19/2020 00:00:07	0	0	8.7%	7.949E-2 	1583.84408194858	1247.358	358.358	0.271	2.435	0.060	2.437	-41.071	2.963	-41.153	2.967	0.143	0.163	0.257	0.220	0.155	10.338	0.388	10.358	3.695	4.759	3.670	4.765	0.012	0.354	-0.001	0.355	0.000	0.384	-0.043	0.386	0.073	0.111	0.129	0.144	-1.202	2.046	-1.271	2.044	-1445.717	10.391	-1446.169	10.402	
6/19/2020 00:00:18	0	0	8.7%	7.949E-2 	1583.84408194858	1238.722	354.553	-0.047	2.435	-0.702	2.437	-41.034	2.964	-40.930	2.964	0.050	0.158	-0.069	0.209	0.402	10.343	0.838	10.345	3.648	4.761	3.610	4.768	0.039	0.355	0.173	0.355	-0.091	0.385	-0.450	0.393	0.047	0.112	-0.023	0.140	-1.123	2.048	-0.886	2.060	-1446.020	10.394	-1446.244	10.396	
6/19/2020 00:00:29	0	0	8.7%	7.949E-2 	1583.84408194858	1239.739	360.580	-0.202	2.436	-0.328	2.439	-41.016	2.967	-40.940	2.973	-0.012	0.165	-0.135	0.230	0.548	10.346	0.112	10.370	3.886	4.765	4.272	4.767	0.048	0.355	0.085	0.355	-0.122	0.386	-0.109	0.398	0.001	0.110	-0.144	0.141	-1.215	2.048	-1.375	2.054	-1446.159	10.399	-1446.171	10.406	
6/19/2020 00:00:39	0	0	8.7%	7.949E-2 	1583.84408194858	1248.006	357.680	-0.285	2.436	-0.217	2.438	-41.043	2.968	-41.150	2.971	0.010	0.157	0.055	0.212	0.175	10.353	-0.637	10.353	3.778	4.764	3.562	4.761	0.089	0.355	0.115	0.356	-0.187	0.386	-0.143	0.402	0.000	0.110	0.038	0.152	-1.212	2.052	-1.315	2.061	-1446.472	10.400	-1447.318	10.402	
6/19/2020 00:00:50	0	0	8.7%	7.949E-2 	1583.84408194858	1255.738	365.963	-0.284	2.437	0.080	2.440	-41.007	2.968	-41.009	2.968	-0.136	0.162	-0.332	0.221	0.094	10.353	0.064	10.359	3.742	4.765	3.527	4.770	0.097	0.355	0.033	0.356	-0.211	0.389	-0.144	0.398	-0.122	0.112	-0.360	0.148	-1.217	2.059	-1.290	2.071	-1446.775	10.400	-1447.382	10.402	
6/19/2020 00:01:01	0	0	8.7%	7.949E-2 	1583.84408194858	1284.640	376.668	-0.058	2.437	0.239	2.437	-41.042	2.972	-41.068	2.977	-0.119	0.159	-0.023	0.207	-0.033	10.351	0.326	10.339	3.877	4.766	4.147	4.769	0.069	0.355	0.059	0.356	-0.131	0.389	-0.131	0.396	-0.094	0.115	0.091	0.151	-1.300	2.057	-1.220	2.055	-1447.059	10.405	-1447.378	10.417	
6/19/2020 00:01:11	0	0	8.7%	7.949E-2 	1583.84408194858	1287.621	382.741	0.129	2.437	0.387	2.440	-41.031	2.969	-40.900	2.964	-0.078	0.152	0.053	0.217	-0.056	10.343	0.024	10.336	3.619	4.768	3.242	4.776	0.071	0.355	0.093	0.355	-0.179	0.387	-0.325	0.388	-0.155	0.117	-0.389	0.140	-1.219	2.058	-1.049	2.056	-1447.319	10.404	-1447.207	10.399	
6/19/2020 00:01:22	0	0	8.7%	7.949E-2 	1583.84408194858	1290.556	383.632	0.115	2.436	-0.202	2.436	-40.999	2.969	-41.020	2.971	-0.117	0.157	-0.121	0.225	0.027	10.352	-0.309	10.389	3.564	4.767	3.343	4.756	0.046	0.355	0.016	0.356	-0.218	0.387	-0.289	0.399	-0.207	0.115	-0.171	0.148	-1.195	2.059	-1.222	2.064	-1447.278	10.403	-1447.155	10.399	
6/19/2020 00:01:33	0	0	8.7%	7.949E-2 	1583.84408194858	1301.760	376.298	0.027	2.436	-0.339	2.440	-41.037	2.971	-41.161	2.973	-0.065	0.161	-0.142	0.245	-0.045	10.353	-0.221	10.363	3.598	4.766	3.661	4.766	0.050	0.355	0.049	0.355	-0.217	0.386	-0.120	0.398	-0.039	0.115	0.314	0.155	-1.143	2.054	-1.082	2.054	-1447.251	10.405	-1447.271	10.411	
6/19/2020 00:01:42	0	0	8.7%	7.949E-2 	1583.84408194858	1264.548	374.987	0.033	2.436	0.269	2.435	-41.025	2.968	-41.019	2.967	-0.096	0.171	-0.041	0.224	-0.052	10.358	0.298	10.359	3.434	4.763	3.493	4.758	0.036	0.355	0.002	0.355	-0.215	0.387	-0.136	0.402	-0.122	0.111	-0.242	0.143	-1.023	2.052	-0.740	2.047	-1447.379	10.402	-1447.888	10.405	
